issue_time,target_time,station_id,horizon_hours,pm25_forecast,pm25_lower_ci,pm25_upper_ci,uncertainty,quality_flag,missing_features,model_agreement,variability_added,units
2024-01-31 00:00:00+05:30,2024-02-02 16:00:00+05:30,ST001,64,268.7013767957849,76.19657761785885,461.2061759737109,98.21673427445207,uncertain,2,67.75817200549452,7.658562268957551,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 17:00:00+05:30,ST001,65,265.49869931063233,65.21849660072687,465.77890202053777,102.18377689280891,uncertain,2,71.26455268246843,7.919224210340474,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 18:00:00+05:30,ST001,66,291.8615141257444,49.464763078696706,534.2582651727921,123.67181175869781,uncertain,2,70.42299420239932,30.048817556298484,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 19:00:00+05:30,ST001,67,288.1631820589615,135.01697235508837,441.3093917628347,78.1358212774863,uncertain,2,47.168567965011405,7.56725331247491,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 20:00:00+05:30,ST001,68,225.27854628427423,-0.19617977045680846,450.75327233900526,115.03812553812809,uncertain,2,64.19461509186152,27.24351044626657,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 21:00:00+05:30,ST001,69,222.98967802110965,4.344089978359591,441.6352660638597,111.55387145038269,uncertain,3,71.2893692794467,15.464502170935992,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 22:00:00+05:30,ST001,70,206.41792362654556,-3.893667763429818,416.72951501652096,107.30183234182417,uncertain,2,73.50166528982736,9.800167051996802,ug/m3
2024-01-31 00:00:00+05:30,2024-02-02 23:00:00+05:30,ST001,71,226.1280920351608,28.235165717809565,424.021018352512,100.96577873334246,uncertain,2,66.01988619677418,10.745892536568276,ug/m3
2024-01-31 00:00:00+05:30,2024-02-03 00:00:00+05:30,ST001,72,189.20478851008275,-21.28631907191891,399.6958960920844,107.39342223571514,uncertain,2,69.51985458577772,13.473567649937413,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 01:00:00+05:30,ST002,1,24.768261735786776,-49.265026310305586,98.80154978187915,37.77208573780223,uncertain,4,15.959377528239713,9.612708209562516,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 02:00:00+05:30,ST002,2,27.410006249149532,-24.910472492014193,79.73048499031326,26.694121806716186,uncertain,3,11.11393006143983,4.180191745276357,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 03:00:00+05:30,ST002,3,31.05991640105159,-32.62947164147812,94.7493044435813,32.49458573598454,uncertain,3,17.910358445623057,2.9842272903614857,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 04:00:00+05:30,ST002,4,199.13394750536966,-176.77571775613805,575.0436127668773,191.79064554158558,degraded,2,144.41695593055442,36.573689611031135,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 05:00:00+05:30,ST002,5,137.83312689593444,-282.05518165119076,557.7214354430596,214.22872885057407,degraded,2,166.2300284878994,36.998700362674676,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 06:00:00+05:30,ST002,6,224.9021294695264,-97.9332654433766,547.7375243824293,164.71193618005253,degraded,2,137.60748848746923,15.90444769258333,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 07:00:00+05:30,ST002,7,267.42678391701816,-85.52212171868518,620.3756895527215,180.07597226311395,degraded,2,113.42134794264767,55.25462432046627,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 08:00:00+05:30,ST002,8,174.5264491879768,-27.35357049378311,376.4064688697367,103.00001004171423,degraded,2,71.92011230307897,19.479897738635266,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 09:00:00+05:30,ST002,9,145.25820687233124,-286.478511289584,576.9949250342465,220.27383579689553,degraded,2,114.08795851356949,94.38587728332605,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 10:00:00+05:30,ST002,10,224.57226606651182,-36.30131780178078,485.4458499348044,133.0987672797411,degraded,2,114.59464120167007,6.50412607807103,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 11:00:00+05:30,ST002,11,200.90433482485253,61.01134054888894,340.7973291008161,71.37397667140999,degraded,2,58.9104836595062,0.26349301190378827,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 12:00:00+05:30,ST002,12,202.97581538111456,-36.5594299739746,442.5110607362037,122.21185987504549,degraded,2,90.72932099223166,19.082538882813814,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 13:00:00+05:30,ST002,13,268.6374878049333,-53.144268850543085,590.4192444604097,164.17436564054918,degraded,2,91.90219032712905,59.672175313420134,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 14:00:00+05:30,ST002,14,172.41348409617493,-27.460972719846296,372.2879409121962,101.97676368164348,degraded,2,85.9290278750106,3.2477358066328805,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 15:00:00+05:30,ST002,15,182.37104292021107,-14.706833764629806,379.44891960505197,100.5499370841025,degraded,2,83.91681678710162,3.6331202970008696,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 16:00:00+05:30,ST002,16,151.8445973230524,-61.156065340110814,364.84525998621564,108.67380748120573,degraded,2,79.53574399086314,15.93806349034259,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 17:00:00+05:30,ST002,17,204.48341063391246,-45.37359814095828,454.3404194087832,127.47806570146466,degraded,2,74.55038965992713,39.52767604153751,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 18:00:00+05:30,ST002,18,142.26380250929344,-83.04355231170024,367.5711573302871,114.95273205152739,degraded,2,80.93165931114919,20.421072740378214,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 19:00:00+05:30,ST002,19,160.31022258451083,-16.448310256960667,337.0687554259823,90.18292491911811,degraded,2,73.33834471573415,3.0445802033839597,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 20:00:00+05:30,ST002,20,194.2446025448167,-73.8227995425309,462.3120046321643,136.76908269762632,degraded,2,89.61906846004464,33.150014237581665,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 21:00:00+05:30,ST002,21,140.38193706129027,-86.28377123602289,367.0476453586034,115.6457695394455,degraded,2,94.70112243994207,6.744647099503424,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 22:00:00+05:30,ST002,22,104.2465094711492,-188.51753525993115,397.0105542022295,149.3694105770818,degraded,2,105.46499389151609,29.50441668556569,ug/m3
2024-01-31 00:00:00+05:30,2024-01-31 23:00:00+05:30,ST002,23,139.9932290744866,-43.945999653577616,323.93245780255086,93.84654526942052,degraded,2,79.08112463005529,0.1654206393652436,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 00:00:00+05:30,ST002,24,237.26101536223405,-224.96117217189072,699.4832028963588,235.82764670108406,degraded,2,175.3161759467459,45.71147075433815,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 01:00:00+05:30,ST002,25,172.62941525475532,-193.4085276118186,538.6673581213292,186.7540524829459,degraded,2,154.33389868680476,17.42015379614115,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 02:00:00+05:30,ST002,26,230.95526539818906,-137.59089946379987,599.501430260178,188.0337575826474,degraded,2,148.999271857508,23.834485725139402,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 03:00:00+05:30,ST002,27,188.8571079707171,-16.034061447224104,393.74827738865827,104.53631092752101,degraded,2,86.02822854173193,3.108082385789071,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 04:00:00+05:30,ST002,28,241.3269619743389,-19.664408194434287,502.3183321431121,133.15886233100673,degraded,2,88.69001841447815,28.868843916528583,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 05:00:00+05:30,ST002,29,264.1838945413345,-12.831812479494147,541.1996015621631,141.33454439838195,degraded,2,113.90585782064458,11.62868657773736,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 06:00:00+05:30,ST002,30,300.95231754776705,58.60537889322464,543.2992562023095,123.64639727272572,degraded,2,67.97705965207314,39.669337620652584,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 07:00:00+05:30,ST002,31,332.25289412511165,48.674803703790815,615.8309845464325,144.68269919455145,degraded,2,110.893321994373,17.58937720017845,ug/m3
2024-01-31 00:00:00+05:30,2024-02-01 08:00:00+05:30,ST002,32,295.3858824527076,108.58065118081907,482.19111372459616,95.30879146524926,degraded,2,74.86267271586114,4.0461187493881345,ug/m3
