issue_time,target_time,station_id,horizon_hours,pm25_forecast,pm25_lower_ci,pm25_upper_ci,uncertainty,quality_flag,missing_features,ensemble_predictions,model_agreement,units
2024-01-30 23:00:00+05:30,2024-02-02 08:00:00+05:30,ST001,57,51.323146129166794,41.52314641464666,61.12314584368693,4.999999854347009,uncertain,0,2,0.07331999459006866,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 09:00:00+05:30,ST001,58,65.4362593340466,55.63625983500977,75.23625883308343,4.999999744406546,uncertain,0,2,0.017546695158316084,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 10:00:00+05:30,ST001,59,50.048419871038774,40.248420108137765,59.848419633939784,4.999999879031127,uncertain,0,2,0.7374268605215271,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 11:00:00+05:30,ST001,60,51.22672016283446,41.42672016283446,61.026720162834465,5.0,uncertain,0,2,0.44664689014866,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 12:00:00+05:30,ST001,61,45.88337874283558,35.98537874283558,55.781378742835585,5.050000000000001,uncertain,0,2,1.4649292625834605,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 13:00:00+05:30,ST001,62,42.57089808423409,32.57489808423409,52.56689808423408,5.1,uncertain,0,2,0.7275464605018271,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 14:00:00+05:30,ST001,63,45.822618864945596,35.728618864945595,55.9166188649456,5.15,uncertain,0,2,0.6824150549128092,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 15:00:00+05:30,ST001,64,46.99634676631202,36.80434676631202,57.18834676631202,5.2,uncertain,0,2,0.6637645277624244,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 16:00:00+05:30,ST001,65,36.73813378535592,26.44813378535592,47.02813378535592,5.25,uncertain,0,2,1.1103293685487898,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 17:00:00+05:30,ST001,66,49.783572177198764,39.39557217719876,60.17157217719877,5.300000000000001,uncertain,0,2,1.0305962378647244,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 18:00:00+05:30,ST001,67,46.692375048803015,36.20637504880302,57.17837504880301,5.35,uncertain,0,2,0.41597395603294984,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 19:00:00+05:30,ST001,68,50.23054371068566,39.64654371068566,60.814543710685655,5.4,uncertain,0,2,2.0646318143281697,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 20:00:00+05:30,ST001,69,49.57224023764486,38.89024023764486,60.254240237644865,5.45,uncertain,0,2,0.7559974629984438,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 21:00:00+05:30,ST001,70,52.25109250186412,41.47109250186412,63.03109250186412,5.5,uncertain,0,2,0.8047214267313656,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 22:00:00+05:30,ST001,71,49.9757721024796,39.0977721024796,60.8537721024796,5.550000000000001,uncertain,0,2,0.7369634039991269,ug/m3
2024-01-30 23:00:00+05:30,2024-02-02 23:00:00+05:30,ST001,72,56.96866285159295,45.992662851592954,67.94466285159295,5.6,uncertain,0,2,0.43588070568983994,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 00:00:00+05:30,ST002,1,66.66854223203836,56.868542546269225,76.4685419178075,4.999999839678132,ok,0,2,0.3624685724875078,ug/m3
2024-01-30 23:00:00+05:30,2024-01-31 01:00:00+05:30,ST002,2,66.23641967738835,56.436420227345394,76.03641912743132,4.999999719409674,ok,0,2,0.7290684757213128,ug/m3
